time,event,mid,state,action,kind,duration,h,dh,eta,slack_pressure,im_count,im_damage,risk_h,risk_trend,im_longterm_penalty,opportunity_cost,p_fail,expected_fail_cost,downtime_cost,delta_t_since_last_maint,lambda_hat,ddt_hat,goal,rule,dispatched,op,job_due,overdue
2500.716711676146,scheduling,,"[3.0,5.0,5.0,9.0,0.04500000178813934,-3.1218504905700684,-69.12319946289062,-107.41185760498047,0.8223748803138733,0.625,1.0,1.0]",,,,,,,,,,,,,,,,,,0.045,-3.1218505499236024,0,2,True,"{""mid"":1,""t0"":2500.716711676146,""t1"":2508.3719662012954,""jid"":68,""oid"":2}",2534.015922465839,False
2501.539627609338,maintenance,3,"[0.7919788956642151,-0.08505371958017349,5.784331321716309,0.7602328062057495,-57.123477935791016,9.0,0.04500000178813934,-2.562321901321411,1.0,0.0,0.7919788956642151,0.009999999776482582,0.09197890758514404,0.4919789135456085,0.0,5.0,0.0,0.0,81.29468536376953]",0,DN,0.0,0.7919789095832539,-0.08505372223449559,5.784331322112555,0.7602328251966103,0,0.0,0.002131770456310196,0.06505372223449558,0.0,0.0,0.0072477569414897925,0.05798205553191834,0.0,81.294687693568,0.045,-2.5623218534902157,,,,,,
2501.539627609338,scheduling,,"[3.0,4.0,4.0,9.0,0.04500000178813934,-2.562321901321411,-57.123477935791016,-80.73768615722656,0.7602328062057495,0.625,1.0,1.0]",,,,,,,,,,,,,,,,,,0.045,-2.5623218534902157,2,2,True,"{""mid"":5,""t0"":2501.539627609338,""t1"":2511.5366584087396,""jid"":70,""oid"":0}",2520.1723491906973,False
2508.362870842465,maintenance,0,"[0.4462355971336365,-0.07142193615436554,2.0474886894226074,0.789301335811615,-62.293052673339844,9.0,0.04500000178813934,-2.778773784637451,1.0,0.0,0.4462355971336365,0.009999999776482582,-0.25376439094543457,0.1462356150150299,88.96411895751953,4.0,0.0,0.0,460.9000549316406]",0,DN,0.0,0.44623560798813866,-0.07142193349920556,2.047488787037182,0.7893013416520396,0,0.0,0.14906078301231437,0.051421933499205555,0.0,0.0,0.18810723341181446,1.5048578672945156,0.0,460.9000445679046,0.045,-2.77877366709569,,,,,,
2508.3719662012954,maintenance,1,"[0.8112789988517761,0.012313958257436752,100.0,0.7461215257644653,-54.83597946166992,9.0,0.04500000178813934,-2.495934247970581,1.0,0.10000000149011612,0.8112789988517761,0.009999999776482582,0.11127899587154388,0.5112789869308472,0.0,2.0,1.0,1.0,254.7955322265625]",0,DN,0.0,0.8112789933636192,0.012313957933520414,100.0,0.7461214983407566,1,0.1,0.0016751959558985621,0.0,0.0,0.0,0.007479064175638343,0.059832513405106744,0.0,254.79552834934748,0.045,-2.495934148918508,,,,,,
2511.5366584087396,maintenance,5,"[0.4660162925720215,-0.03559248521924019,4.664363861083984,0.7002953290939331,-48.198307037353516,9.0,0.04500000178813934,-2.2027223110198975,1.0,0.10000000149011612,0.4660162925720215,0.009999999776482582,-0.23398371040821075,0.16601629555225372,129.31324768066406,2.0,1.0,1.0,384.8196105957031]",0,DN,0.0,0.46601629034663133,-0.03559248454408975,4.66436362825362,0.7002953250001132,1,0.1,0.11825480268974145,0.015592484544089753,0.0,0.0,0.19967516287960935,1.5974013030368748,0.0,384.81962542573365,0.045,-2.202722336010468,,,,,,
2511.5366584087396,scheduling,,"[5.0,3.0,3.0,9.0,0.04500000178813934,-2.2027223110198975,-48.198307037353516,-71.36082458496094,0.7002953290939331,0.375,1.0,1.0]",,,,,,,,,,,,,,,,,,0.045,-2.202722336010468,0,2,True,"{""mid"":5,""t0"":2511.5366584087396,""t1"":2541.6475570910043,""jid"":70,""oid"":1}",2520.1723491906973,True
2521.866938230339,maintenance,6,"[0.4339293837547302,-0.10441048443317413,1.282719612121582,0.8436904549598694,-74.23667907714844,9.0,0.04500000178813934,-3.3600730895996094,1.0,0.10000000149011612,0.4339293837547302,0.009999999776482582,-0.2660706341266632,0.13392937183380127,323.43792724609375,3.0,1.0,1.0,370.2135925292969]",0,DN,0.0,0.43392937716351226,-0.10441048369845557,1.2827196313955334,0.8436904582078272,1,0.1,0.1718280296696794,0.08441048369845557,0.0,0.0,0.25953277693276744,2.0762622154621395,0.0,370.21359538554907,0.045,-3.3600731566464623,,,,,,
2521.866938230339,scheduling,,"[5.0,2.0,2.0,9.0,0.04500000178813934,-3.3600730895996094,-74.23667907714844,-84.17591094970703,0.8436904549598694,0.375,1.0,1.0]",,,,,,,,,,,,,,,,,,0.045,-3.3600731566464623,3,5,True,"{""mid"":6,""t0"":2521.866938230339,""t1"":2571.864811332074,""jid"":68,""oid"":3}",2534.015922465839,True
2524.506985912024,maintenance,7,"[0.5072870254516602,-0.21047940850257874,0.9848328232765198,0.7266342639923096,-51.87779235839844,9.0,0.04500000178813934,-2.279745101928711,1.0,0.0,0.5072870254516602,0.009999999776482582,-0.1927129626274109,0.2072870284318924,0.0,5.0,0.0,0.0,262.58819580078125]",0,FAIL_CM,200.0,0.5072870346509,-0.21047941357572975,0.9848328210792874,0.7266342874212575,0,0.0,0.072263420572594,0.19047941357572976,0.0,0.0,0.11176177845770824,0.8940942276616659,6.0,262.5881839105368,0.045,-2.279744996854656,,,,,,
