time,event,mid,state,action,kind,duration,h,dh,eta,slack_pressure,goal,rule,dispatched,op,job_due,overdue
1513.0682669908801,maintenance,5,"[0.7645089030265808,-0.0167410708963871,27.746665954589844,0.0,0.06450892984867096,0.46450892090797424,0.0,0.0,1.0,303.7999267578125]",0,DN,0.0,0.7645089285714286,-0.016741071428571397,27.746666666666723,0.0,,,,,,
1513.0682669908801,scheduling,,"[3.0,5.0,5.0,9.0,39.445777893066406,-16.626708984375,0.20000000298023224,0.625]",,,,,,,,1,2,True,"{""mid"":5,""t0"":1513.0682669908801,""t1"":1518.1135251419564,""jid"":32,""oid"":4}",1516.9832084366674,True
1516.048858325357,maintenance,1,"[0.8025655150413513,-0.014500836841762066,34.657691955566406,0.0,0.10256553441286087,0.5025655031204224,0.0,0.0,0.0,1516.048828125]",0,DN,0.0,0.8025655326268823,-0.014500836586726074,34.65769230769251,0.0,,,,,,
1516.048858325357,scheduling,,"[3.0,4.0,4.0,9.0,20.279550552368164,-19.6072998046875,0.25,0.625]",,,,,,,,1,2,True,"{""mid"":6,""t0"":1516.048858325357,""t1"":1536.7579788635835,""jid"":32,""oid"":4}",1516.9832084366674,True
1518.1135251419564,maintenance,5,"[0.7611607313156128,-0.0033482143189758062,137.73333740234375,0.0,0.06116071343421936,0.46116071939468384,0.0,0.0,1.0,308.8451843261719]",0,DN,0.0,0.7611607142857143,-0.0033482142857143016,137.7333333333327,0.0,,,,,,
1518.1135251419564,scheduling,,"[3.0,3.0,3.0,9.0,31.510499954223633,20.646875381469727,0.0,0.625]",,,,,,,,1,5,True,"{""mid"":5,""t0"":1518.1135251419564,""t1"":1535.5664379105103,""jid"":37,""oid"":2}",1556.213313922618,False
1518.3459886597657,maintenance,3,"[0.7979041934013367,-0.019461078569293022,25.58461570739746,0.0,0.09790419042110443,0.4979041814804077,0.0,0.0,1.0,131.19525146484375]",0,DN,0.0,0.7979041916167665,-0.01946107784431128,25.584615384615514,0.0,,,,,,
1518.3459886597657,scheduling,,"[3.0,2.0,2.0,9.0,36.7098503112793,25.93494415283203,0.0,0.625]",,,,,,,,1,0,True,"{""mid"":1,""t0"":1518.3459886597657,""t1"":1560.6014613721718,""jid"":38,""oid"":0}",1725.1823307808172,False
1526.5438139166379,maintenance,4,"[0.7979041934013367,-0.03443113714456558,14.460869789123535,0.0,0.09790419042110443,0.4979041814804077,0.0,0.0,1.0,115.74383544921875]",0,DN,0.0,0.7979041916167665,-0.034431137724550864,14.460869565217408,0.0,,,,,,
1526.5438139166379,scheduling,,"[3.0,2.0,2.0,8.0,48.335906982421875,17.737119674682617,0.0,0.625]",,,,,,,,0,3,True,"{""mid"":4,""t0"":1526.5438139166379,""t1"":1535.4420704864592,""jid"":38,""oid"":1}",1725.1823307808172,False
1532.1025909306672,maintenance,7,"[0.7191011309623718,-0.040449436753988266,10.36111068725586,0.0,0.01910112425684929,0.41910111904144287,0.0,0.0,2.0,182.3160858154297]",0,DN,0.0,0.7191011235955056,-0.04044943820224722,10.361111111111102,0.0,,,,,,
1532.1025909306672,scheduling,,"[3.0,2.0,2.0,8.0,42.777130126953125,12.17834186553955,0.0,0.625]",,,,,,,,1,4,True,"{""mid"":2,""t0"":1532.1025909306672,""t1"":1579.9675528727923,""jid"":38,""oid"":1}",1725.1823307808172,False
1535.4420704864592,maintenance,4,"[0.7904191613197327,-0.007485029753297567,65.5199966430664,0.0,0.09041915833950043,0.4904191493988037,0.0,0.0,1.0,124.64208984375]",0,DN,0.0,0.7904191616766467,-0.007485029940119792,65.51999999999973,0.0,,,,,,
1535.4420704864592,scheduling,,"[3.0,2.0,2.0,7.0,54.099464416503906,8.838862419128418,0.0,0.625]",,,,,,,,0,3,True,"{""mid"":7,""t0"":1535.4420704864592,""t1"":1551.75780953303,""jid"":36,""oid"":1}",1596.7848930920252,False
1535.5664379105103,maintenance,5,"[0.75,-0.01116071455180645,40.31999969482422,0.0,0.05000000074505806,0.44999998807907104,0.0,0.0,1.0,326.298095703125]",0,DN,0.0,0.75,-0.011160714285714302,40.31999999999994,0.0,,,,,,
1535.5664379105103,scheduling,,"[3.0,2.0,2.0,7.0,53.97509765625,8.714494705200195,0.0,0.625]",,,,,,,,0,3,True,"{""mid"":5,""t0"":1535.5664379105103,""t1"":1558.500017317041,""jid"":36,""oid"":1}",1596.7848930920252,False
1536.7579788635835,maintenance,6,"[0.9028475880622864,-0.006700167432427406,89.9749984741211,0.0,0.20284757018089294,0.6028475761413574,0.0,0.0,1.0,66.84626007080078]",0,DN,0.0,0.9028475711892797,-0.006700167504187671,89.97499999999913,0.0,,,,,,
1536.7579788635835,scheduling,,"[3.0,2.0,2.0,7.0,52.78355407714844,7.522953987121582,0.0,0.625]",,,,,,,,0,3,True,"{""mid"":6,""t0"":1536.7579788635835,""t1"":1557.754195281406,""jid"":38,""oid"":2}",1725.1823307808172,False
1544.5970358840937,maintenance,0,"[0.6640625,-0.0301339291036129,12.08148193359375,0.0,-0.03593749925494194,0.36406248807907104,46.976314544677734,0.0,1.0,406.488037109375]",1,IM,12.0,0.6640625,-0.030133928571428603,12.08148148148147,0.0,,,,,,
1544.5970358840937,scheduling,,"[2.0,2.0,2.0,6.0,44.944496154785156,-0.3161028027534485,0.5,0.625]",,,,,,,,0,4,True,"{""mid"":4,""t0"":1544.5970358840937,""t1"":1576.0071883327582,""jid"":38,""oid"":2}",1725.1823307808172,False
1551.75780953303,maintenance,7,"[0.6988763809204102,-0.020224718376994133,19.72222137451172,0.0,-0.001123595517128706,0.3988763988018036,0.0,0.0,2.0,201.9713134765625]",0,DN,0.0,0.698876404494382,-0.020224719101123556,19.72222222222226,0.0,,,,,,
1551.75780953303,scheduling,,"[2.0,2.0,2.0,6.0,47.59605407714844,12.147782325744629,0.0,0.625]",,,,,,,,0,3,True,"{""mid"":7,""t0"":1551.75780953303,""t1"":1579.445112473052,""jid"":36,""oid"":2}",1596.7848930920252,False
1556.5970358840937,scheduling,,"[2.0,2.0,2.0,6.0,42.75682830810547,7.30855655670166,0.0,0.75]",,,,,,,,0,1,True,"{""mid"":0,""t0"":1556.5970358840937,""t1"":1605.2938009472539,""jid"":36,""oid"":2}",1596.7848930920252,True
1557.754195281406,maintenance,6,"[0.8927972912788391,-0.01005025114864111,58.983333587646484,0.0,0.19279731810092926,0.5927973389625549,0.0,0.0,1.0,87.84247589111328]",0,DN,0.0,0.8927973199329984,-0.01005025125628134,58.98333333333373,0.0,,,,,,
1557.754195281406,scheduling,,"[2.0,2.0,2.0,6.0,57.96686935424805,6.151397228240967,0.0,0.75]",,,,,,,,2,2,True,"{""mid"":3,""t0"":1557.754195281406,""t1"":1581.9574122678112,""jid"":38,""oid"":3}",1725.1823307808172,False
1558.500017317041,maintenance,5,"[0.734375,-0.015625,27.799999237060547,0.0,0.03437500074505806,0.43437498807907104,0.0,0.0,1.0,349.2316589355469]",0,DN,0.0,0.734375,-0.015625,27.8,0.0,,,,,,
1560.6014613721718,maintenance,1,"[0.7891801595687866,-0.013385388068854809,36.545833587646484,0.0,0.08918014168739319,0.48918014764785767,0.0,0.0,0.0,1560.6014404296875]",0,DN,0.0,0.7891801450083659,-0.013385387618516487,36.54583333333324,0.0,,,,,,
1560.6014613721718,scheduling,,"[3.0,1.0,1.0,6.0,135.42982482910156,135.42982482910156,0.0,0.625]",,,,,,,,0,3,True,"{""mid"":6,""t0"":1560.6014613721718,""t1"":1579.7890628795165,""jid"":38,""oid"":4}",1725.1823307808172,False
1576.0071883327582,maintenance,4,"[0.7619760632514954,-0.0284431129693985,16.24210548400879,0.0,0.06197604909539223,0.4619760513305664,0.0,0.0,1.0,165.20721435546875]",0,DN,0.0,0.7619760479041916,-0.02844311377245512,16.242105263157878,0.0,,,,,,
1578.0955439661022,scheduling,,"[3.0,1.0,1.0,7.0,58.43272018432617,58.43272018432617,0.0,0.625]",,,,,,,,0,1,True,"{""mid"":5,""t0"":1578.0955439661022,""t1"":1619.5400294602448,""jid"":39,""oid"":0}",1753.3937050151526,False
1579.445112473052,maintenance,7,"[0.6606741547584534,-0.03820224851369858,9.441176414489746,0.0,-0.03932584449648857,0.3606741428375244,27.68730354309082,0.0,2.0,229.6586151123047]",1,IM,12.0,0.6606741573033708,-0.038202247191011285,9.441176470588223,0.0,,,,,,
1579.7890628795165,maintenance,6,"[0.876046895980835,-0.01675041951239109,34.38999938964844,0.0,0.17604690790176392,0.576046884059906,0.0,0.0,1.0,109.8773422241211]",0,DN,0.0,0.8760469011725294,-0.01675041876046901,34.39,0.0,,,,,,
1579.7890628795165,scheduling,,"[3.0,1.0,1.0,7.0,56.739200592041016,56.739200592041016,0.0,0.5]",,,,,,,,0,1,True,"{""mid"":6,""t0"":1579.7890628795165,""t1"":1603.4082609588597,""jid"":39,""oid"":0}",1753.3937050151526,False
1579.9675528727923,maintenance,2,"[0.7893890738487244,-0.043408360332250595,11.274073600769043,0.0,0.08938907086849213,0.4893890619277954,0.0,0.0,2.0,171.683349609375]",0,DN,0.0,0.7893890675241158,-0.043408360128617374,11.274074074074072,0.0,,,,,,
1581.9574122678112,maintenance,3,"[0.7769461274147034,-0.020958084613084793,22.757143020629883,0.0,0.07694610953330994,0.4769461154937744,0.0,0.0,1.0,194.80667114257812]",0,DN,0.0,0.7769461077844312,-0.020958083832335328,22.75714285714286,0.0,,,,,,
1581.9574122678112,scheduling,,"[4.0,1.0,1.0,7.0,54.57085037231445,54.57085037231445,0.0,0.375]",,,,,,,,0,1,True,"{""mid"":3,""t0"":1581.9574122678112,""t1"":1626.7481991934983,""jid"":39,""oid"":0}",1753.3937050151526,False
1603.4082609588597,maintenance,6,"[0.8525963425636292,-0.023450586944818497,23.564285278320312,0.0,0.15259630978107452,0.5525963306427002,0.0,0.0,1.0,133.4965362548828]",0,DN,0.0,0.8525963149078727,-0.02345058626465668,23.564285714285653,0.0,,,,,,
1603.4082609588597,scheduling,,"[5.0,2.0,2.0,7.0,47.4432373046875,27.273645401000977,0.0,0.375]",,,,,,,,2,2,True,"{""mid"":2,""t0"":1603.4082609588597,""t1"":1653.2284589070612,""jid"":39,""oid"":1}",1753.3937050151526,False
1605.2938009472539,maintenance,0,"[0.8582589030265808,-0.01103455200791359,50.59189987182617,0.0,0.15825892984867096,0.5582589507102966,0.0,0.0,2.0,48.6967658996582]",0,DN,0.0,0.8582589285714286,-0.011034551613051335,50.59189971173244,0.0,,,,,,
1605.2938009472539,scheduling,,"[5.0,2.0,2.0,7.0,45.55769729614258,25.388105392456055,0.0,0.375]",,,,,,,,2,2,True,"{""mid"":6,""t0"":1605.2938009472539,""t1"":1636.5524466545437,""jid"":40,""oid"":0}",1724.6075681893844,False
1618.2582262669764,scheduling,,"[4.0,3.0,3.0,7.0,29.6894474029541,12.42367935180664,0.0,0.5]",,,,,,,,1,0,True,"{""mid"":1,""t0"":1618.2582262669764,""t1"":1637.900007845422,""jid"":41,""oid"":0}",1689.9036233933193,False
1619.5400294602448,maintenance,5,"[0.7075892686843872,-0.02678571455180645,15.216666221618652,0.0,0.0075892857275903225,0.40758928656578064,0.0,0.0,1.0,410.2716979980469]",0,DN,0.0,0.7075892857142857,-0.0267857142857143,15.216666666666658,0.0,,,,,,
1619.5400294602448,scheduling,,"[4.0,3.0,3.0,7.0,41.098480224609375,11.141876220703125,0.0,0.5]",,,,,,,,1,0,True,"{""mid"":4,""t0"":1619.5400294602448,""t1"":1635.667223398437,""jid"":41,""oid"":0}",1689.9036233933193,False
1626.7481991934983,maintenance,3,"[0.7395209670066833,-0.037425149232149124,11.744000434875488,0.0,0.039520956575870514,0.4395209550857544,0.0,0.0,1.0,239.5974578857422]",0,DN,0.0,0.7395209580838323,-0.03742514970059885,11.743999999999986,0.0,,,,,,
1635.667223398437,maintenance,4,"[0.7485029697418213,-0.013473053462803364,33.28888702392578,0.0,0.04850299283862114,0.4485029876232147,0.0,0.0,1.0,224.86724853515625]",0,DN,0.0,0.7485029940119761,-0.013473053892215536,33.28888888888897,0.0,,,,,,
1635.667223398437,scheduling,,"[5.0,3.0,3.0,6.0,43.70848846435547,-4.985317707061768,0.3333333432674408,0.375]",,,,,,,,3,2,True,"{""mid"":4,""t0"":1635.667223398437,""t1"":1648.1611227520884,""jid"":41,""oid"":1}",1689.9036233933193,False
1636.5524466545437,maintenance,6,"[0.8241205811500549,-0.02847571112215519,18.405881881713867,0.0,0.12412060052156448,0.5241206288337708,0.0,0.0,1.0,166.64073181152344]",0,DN,0.0,0.8241206030150754,-0.028475711892797295,18.40588235294119,0.0,,,,,,
1636.5524466545437,scheduling,,"[5.0,3.0,3.0,6.0,53.24281311035156,25.388105392456055,0.0,0.375]",,,,,,,,2,2,True,"{""mid"":7,""t0"":1636.5524466545437,""t1"":1643.8476511393603,""jid"":40,""oid"":1}",1724.6075681893844,False
1637.900007845422,maintenance,1,"[0.7830451726913452,-0.0061349691823124886,78.73636627197266,0.0,0.08304517716169357,0.48304519057273865,0.0,0.0,0.0,1637.9000244140625]",0,DN,0.0,0.7830451756832125,-0.006134969325153339,78.7363636363641,0.0,,,,,,
1637.900007845422,scheduling,,"[5.0,2.0,2.0,6.0,62.41424560546875,24.040544509887695,0.0,0.375]",,,,,,,,0,3,True,"{""mid"":0,""t0"":1637.900007845422,""t1"":1668.0945464526783,""jid"":40,""oid"":1}",1724.6075681893844,False
